,ImageName,LReference,aReference,bReference,LSample,aSample,bSample,Dilution Factor
40,IMG_41,138.93756736589006,127.73559406351049,183.2236132990631,160.12249171174315,119.08340603734078,147.69126970278603,2
41,IMG_42,143.6323509977534,124.36601911810052,180.074093652262,161.60060229625446,121.20613589309241,140.29177489177488,2
42,IMG_43,146.55711173358233,126.92492305564201,183.48009821212435,164.75029442658433,119.21061845497661,147.32176846930005,2
43,IMG_44,154.18310080565925,122.11774415405777,181.10960896050304,167.35580651232826,117.98577075098814,150.49136081309993,2
44,IMG_45,147.83024107030167,126.09916277504313,182.70499389961714,165.34524607514552,119.71462339036867,145.47888516493208,2
45,IMG_46,141.79820400935938,127.37867577309808,182.23683045595396,158.55953388775458,119.0067725710871,146.2007868134057,2
46,IMG_47,146.49760951027264,126.87444544945514,183.47331696601628,164.56741993744768,119.47535350865601,145.2718822959341,2
47,IMG_48,144.77012584582306,126.29241763106305,182.5491684057421,161.37074117586965,120.37283547019462,144.4837819890688,2
48,IMG_49,181.08706138644675,126.95129541741228,199.95285147436397,199.10487823854353,119.75849996109858,153.927954563137,3
49,IMG_50,180.30561676968557,124.27336737436173,194.39634506852997,198.52296061705061,120.60111355161669,149.99484088471166,3
50,IMG_51,180.76337324887882,125.50899255629017,197.87419668038282,191.2802602448832,118.68513080016265,157.90665522071114,3
51,IMG_52,179.03904239304617,128.142427038314,198.94760355460593,195.04464243400787,118.57153689398606,163.67252736837116,3
52,IMG_53,177.46840712647733,127.196083965426,197.13974245898748,194.35120460383,118.88305101277759,157.92762623142698,3
53,IMG_54,171.3176078641056,126.60461481511949,194.62900505902192,189.45274120652388,119.6442130084496,154.021929652191,3
54,IMG_55,173.7340358374205,127.70562812606225,195.85543631331035,184.574048623288,119.4236766030046,154.73186104923937,3
55,IMG_56,182.1304097545659,125.06478622638548,197.83018472970852,194.05939263638805,119.91943026068262,153.31459285138405,3
56,IMG_57,173.6819777107321,134.043778092482,196.82796625823534,188.43110765736148,127.35698487656165,156.23898619164325,3
57,IMG_58,176.21110546026168,131.4210550649591,195.0199731841509,191.0537704008507,127.73535531000046,156.5973461556244,3
58,IMG_59,174.43456060198872,134.458855146466,197.1243751679656,183.85646421821525,128.2468713285999,164.13868314859275,3
59,IMG_60,172.3465717323963,135.26751121179896,197.4851819316658,188.7351658517246,125.27390863838598,172.38363948724725,3
60,IMG_61,177.35491208947442,131.17847495379365,198.03919245533388,188.66697421453893,125.86893604622931,160.8238236293886,3
61,IMG_62,163.8462467297243,135.24000804990945,193.60366270879453,177.70784044016506,126.65458832776577,162.71758695224995,3
62,IMG_63,162.8766482347937,134.99654047922868,192.8399546292358,177.4666327050433,127.55639863796016,160.85489449553583,3
63,IMG_64,164.19095420388487,135.61244860343118,193.86082518077413,178.91726962457338,127.13774744027303,163.24666211604097,3
64,IMG_65,158.53910555765913,126.247843830199,191.48247717615382,174.16250565541068,118.67091679348496,152.7752642619175,3
65,IMG_66,167.10027679308502,123.07099499830039,189.8667508376633,187.3490355907303,119.0066821477655,148.20136486422444,3
66,IMG_67,165.63783234546995,125.77900084674005,192.67796782387808,180.85821113892771,117.5100627499431,157.4728679650161,3
67,IMG_68,158.2582059311107,128.91803278688525,192.018714312028,178.43770100632847,117.68419960576823,165.92388560362417,3
68,IMG_69,168.74726041739373,128.97559386705754,193.85500570019312,186.54543540065285,119.28680635990312,159.15432241760556,3
69,IMG_70,158.51076137813698,127.35170849283993,189.6492556358996,177.45832081911263,119.32865529010239,153.3697747440273,3
70,IMG_71,156.43764965923742,128.0568428808252,189.08333026340026,171.6669191099571,119.0420498395182,154.31685239280176,3
71,IMG_72,164.7101076027518,125.6854824484036,192.01499382607162,180.63987161455515,118.52360344765408,152.89534422445814,3
72,IMG_73,187.4093068396588,128.86448383306941,202.6569954538489,210.59873939623714,118.90825079380124,157.16880716553717,4
73,IMG_74,175.24853892174153,125.21489089462946,195.99719887955183,193.34420854951142,117.6886717382309,161.97644587325334,4
74,IMG_75,179.07147884091674,124.23515192313576,196.36877696520915,195.98514271993275,118.85481886124201,160.31641504337125,4
75,IMG_76,183.5903695466653,125.51744291292766,198.39007990897102,194.1817627790051,118.64071506564079,163.62324471191693,4
76,IMG_77,172.7370375426621,128.41321501706486,197.17340614334472,188.23742532778195,119.50906410820036,158.28102614497402,4
