,ImageName,HReference,SReference,VReference,HSample,SSample,VSample,Dilution Factor
16,IMG_17,17.601599704100977,248.2837394239216,210.88598640713857,27.231619752433815,97.61741773490155,177.00872208272764,7
17,IMG_18,16.948608137044967,248.241770828146,213.78940291818137,27.432525615500413,100.92439178361579,182.37823532268246,7
18,IMG_19,17.85805856358957,247.8729179818385,212.09979119118148,28.001941053276806,99.13260458701538,178.21412882464116,7
19,IMG_20,18.044073740581016,253.38216198284442,208.13975640964884,28.182076678830388,104.83469977726175,177.16312023126866,7
20,IMG_21,17.81968101929246,247.60665070257082,215.68906158225275,26.045910583013548,136.84113921124415,181.2951130426742,6
21,IMG_22,16.947894031161866,247.33533681631144,205.60062878542698,26.55804706643858,140.32396319755884,180.7424753802765,6
22,IMG_23,16.921567698213355,246.8428510497133,208.93019288185394,26.214434324286838,144.53160109112764,181.8126589301401,6
23,IMG_24,16.763511872966543,246.80250570582237,210.2911183411839,26.405277187909455,140.0546694980346,184.77287308543802,6
24,IMG_25,16.98400951499934,247.4149156424827,209.96387824324918,26.105876369688843,141.5250358315225,181.601276064543,6
25,IMG_26,17.319721598167483,247.442932029426,214.25042949649796,25.11924584820052,171.8499185057927,189.3936830976609,5
26,IMG_27,16.614213197969544,245.8106128002512,214.6326338374588,25.39101638364623,169.39101638364625,185.72959513968428,5
27,IMG_28,17.907784755794516,245.79916866217866,216.61008448922425,25.82184972665251,166.80097591831202,185.19003298242444,5
28,IMG_29,17.441262885314476,246.84308550370997,212.99576714307057,25.289148827962457,170.13662212769893,192.6140829441953,5
29,IMG_30,17.813491146146376,246.36275371029637,214.42341301031024,25.499098432659856,168.83591474409357,187.93855471820243,5
30,IMG_31,17.51273752831846,245.7464977576402,211.5022885940173,24.989608119263828,200.9768367892002,189.5679114262128,4
31,IMG_32,17.91571501225207,246.54981737482083,218.01285311387488,24.867020520354487,201.87654613525424,199.74361404672766,4
32,IMG_33,17.008692274073713,246.79565871898217,209.13519156995096,24.6202075731008,207.0417989668736,188.43206483105067,4
33,IMG_34,17.903996503666296,248.43053464769582,215.0673529840237,24.792798084308497,205.06198888537477,192.83400352414947,4
34,IMG_35,17.44291739727975,247.01900383868062,217.36917681626463,24.98002681584909,203.05187479772528,189.06246243469417,4
35,IMG_36,17.101994228367143,247.53163630098635,218.62303484515655,22.98186713786865,233.35550506962852,194.0073625310278,3
36,IMG_37,16.862061175620116,247.58871368544706,214.64510007680838,23.00112953508336,235.22044006686846,198.73912257714724,3
37,IMG_38,17.8174513021162,247.20711851571374,213.56291808658335,22.990739544299437,232.70823103760176,196.92001550587932,3
38,IMG_39,16.592214156918953,246.68888991631604,215.39035554117157,22.968769252642055,233.25449030851618,192.23425430074403,3
39,IMG_40,17.005393439323807,247.89969812839607,214.8744616623063,23.16071644194003,232.66600925739584,196.24693097202658,3
40,IMG_41,17.79058448550631,247.9446956971185,222.7317052160055,21.140672782874617,244.15738467502263,201.70711116854028,2
41,IMG_42,17.058683839806804,247.07808412155364,216.3026363453411,21.400896639657795,245.18652572697735,200.01900217990377,2
42,IMG_43,17.93263556876427,253.70207175776372,197.077227893354,22.986957802179308,253.98014220202785,187.3205435651479,2
43,IMG_44,17.010854474315284,246.01750178804326,209.45980058058817,21.59248491255892,243.46319545394476,200.0009250693802,2
44,IMG_45,17.857274954921632,253.77812196587914,195.5867585186555,22.94818451996382,254.05504587155963,185.37252875048455,2
45,IMG_46,17.702326033118048,244.76647404457825,215.6938765599961,19.47826531133473,245.23374367880677,201.42115748071717,1
46,IMG_47,18.00515395797542,244.8368794326241,219.5299766530109,19.98058162651995,246.36955014101437,210.940542789773,1
47,IMG_48,17.945831951092366,245.89815648547463,217.0056869342685,19.99356387597691,247.93022424273383,208.3271696378403,1
48,IMG_49,17.849803331229058,246.1264507356869,213.78123634244648,19.803495841840547,247.5227827299437,209.35979283900204,1
49,IMG_50,17.553623051040233,247.00488128524714,212.74043884176106,19.29252392621018,247.5071431873873,203.05894863377873,1
50,IMG_51,15.85011068625478,242.7525860334071,153.62584020929765,27.326779911981244,43.851684284127835,140.13005388064,10
51,IMG_52,16.35999263216062,242.2166881561982,150.37878062258244,29.032734546293803,43.29914990191176,134.6296111089741,10
52,IMG_53,16.067860736566715,242.25510163010665,152.80720466894746,27.901710605755685,46.269309720265646,136.92634332863756,10
53,IMG_54,16.368888717928993,242.4860176174174,153.14636304188946,27.66144978753839,51.21915099499348,135.26113845765494,10
54,IMG_55,15.978788488629503,242.33302475347153,149.8244717246931,28.017991547595088,44.80458844837995,133.98072046689475,10
55,IMG_56,15.873785182380411,242.69615886238378,151.06083554209263,26.38724139349319,102.02706371077201,136.3576276066302,9
56,IMG_57,15.830790903602335,242.3663916280942,150.88412155363253,27.150363957444977,92.71568247404919,136.1797820562519,9
57,IMG_58,15.595897528577238,241.81462070211902,147.11245651289929,26.250830914215996,99.05094871471245,136.10366443687155,9
58,IMG_59,15.795829673124047,242.47279116001664,149.3470803088446,27.2192772098111,86.44436030123269,138.92414489461063,9
59,IMG_60,16.046419159461834,242.77867677655001,154.86319293541078,26.8927845298875,86.35643609090498,140.44259702706367,9
60,IMG_61,15.351518794211476,241.36876415923066,148.74709880253363,25.987210231814547,66.00222979511128,134.26736505532415,8
61,IMG_62,15.674196900555732,242.29309176343017,149.90511905299778,25.19425821576934,62.60477933615761,135.6869164644429,8
62,IMG_63,15.338950128684504,242.59398824843393,147.3369591608799,25.708797762513882,70.97684366388351,134.258873853494,8
63,IMG_64,15.79772527624948,242.5442230338897,151.37024365435295,25.937890338975752,65.13955291381315,137.63345824180558,8
64,IMG_65,15.371165228391995,241.54095694212262,146.44295847829034,26.050695610974717,69.94887367015549,132.06038678554506,8
65,IMG_66,15.935894161516066,242.2611227460796,153.51039485110078,24.891370854173747,130.33108337784685,136.90292817947847,7
66,IMG_67,15.785075547332717,240.05012995022247,149.76763138187746,25.24601274115574,127.14747210048344,134.22464193737858,7
67,IMG_68,15.089437777003138,241.24694985309497,148.62362432149794,24.53831571963414,126.30377707217667,134.86867920951613,7
68,IMG_69,15.57154745942947,241.15414489805354,148.5675713162883,24.619075588487778,128.40798807210953,132.32729408575432,7
69,IMG_70,15.460010683241878,241.43631331034817,149.12023503132133,25.549857678579496,127.41345502191298,140.65657615325532,7
70,IMG_71,15.786061937373477,241.9076969462032,152.1277512167808,24.246665825234547,170.56708317556482,136.81425386006984,6
71,IMG_72,15.42919425821577,241.33274379961338,149.57857936083576,24.911141678129297,172.14234623698172,140.63313028099824,6
