,ImageName,HReference,SReference,VReference,HSample,SSample,VSample,Dilution Factor
80,IMG_81,23.02265702537927,232.47931376719126,200.57569828441797,23.83876148600616,64.59358626681762,197.2441747189384,4
81,IMG_82,23.20565479711345,218.47741630190464,187.46894593635395,25.279857878522115,84.48208864602307,185.32685691155638,4
82,IMG_83,22.985557135373792,215.95355334381003,195.69051360722392,22.921891267362433,92.60072115995023,196.60364134988953,4
83,IMG_84,23.04005684103279,219.1641150762796,197.22929458133362,25.00281719807272,88.01966772860115,191.36439272267714,4
84,IMG_85,23.03030851586542,209.60177403087744,195.5693966743386,23.46613784329866,83.90947641497668,188.31909002469504,4
85,IMG_86,23.035307127247833,215.55680471814856,206.12527316289723,21.35136672786987,74.94595153740723,205.09883886317206,4
86,IMG_87,22.729990431611885,218.0789521321989,201.853913987949,21.86845589120231,77.84002888434227,197.70617402816222,4
87,IMG_88,22.574023656455193,233.44157953739506,196.96945709121692,23.14120266307024,89.56819300837026,188.99154410977673,4
88,IMG_89,25.013009822415924,232.112730111234,177.87692707994535,32.939244129317636,94.67878748455084,171.33519807454627,4
89,IMG_90,25.0017981781616,214.5800780787886,178.1972317520407,30.27775063400107,95.20867359996278,167.87154789325515,4
90,IMG_91,25.9891827417431,216.0306420433513,173.53226668860282,32.965143892131216,90.67373717045683,170.38889112497483,4
91,IMG_92,25.35708021318222,217.0970788639277,183.55132789134004,32.25343166046684,78.12688986055821,183.23217820705258,4
92,IMG_93,24.235121208977418,244.33941971850467,180.84154649514127,31.978639424193172,92.8879233142061,167.09144581909848,4
93,IMG_94,24.30045067601402,218.58702760022388,182.06168075642876,32.2219505729182,76.44251671625085,175.63583610710182,4
94,IMG_95,25.372226926333617,228.34506350550382,172.12071126164267,32.561828958509736,101.55566469093988,169.1399153259949,4
95,IMG_96,24.211746392359796,241.46388152635785,175.88177878749633,33.333525274544485,77.12520051001522,172.49631884177188,4
96,IMG_97,24.40203358084153,240.37949026690748,217.91016121479697,28.99824367397385,109.54537175567553,194.13809926494503,5
97,IMG_98,24.98634621182754,226.56458629452555,199.85906878580352,28.689511548655812,113.28789599899028,189.95279565821028,5
98,IMG_99,24.98634621182754,226.56458629452555,199.85906878580352,28.689511548655812,113.28789599899028,189.95279565821028,5
99,IMG_100,25.022134163600338,234.06657231814322,214.28106425134447,29.70495990192573,91.91816928027788,198.6065791490014,5
100,IMG_101,25.022134163600338,234.06657231814322,214.28106425134447,29.70495990192573,91.91816928027788,198.6065791490014,5
101,IMG_102,25.156007244918495,226.65795934795733,207.79384181927952,29.307804746701542,93.19817671269762,200.13001500173098,5
102,IMG_103,25.156007244918495,226.65795934795733,207.79384181927952,29.307804746701542,93.19817671269762,200.13001500173098,5
